text	favorited	favoriteCount	replyToSN	created	truncated	replyToSID	id	replyToUID	statusSource	screenName	retweetCount	isRetweet	retweeted	longitude	latitude
"""Donald Trump Plans To Continue GOP
Legacy Of Leading On Women’s, Civil Rights Against Racist, Sexist Democrats"" 
https://t.co/nEPqAYw1G5"	FALSE	10664.0	NA	2016-06-10T15:36:17Z	FALSE	NA	741292912894431232	NA	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	realDonaldTrump	4094.0	FALSE	FALSE	NA	NA
The great boxing promoter, Don King, just endorsed me. Nice!	FALSE	19520.0	NA	2016-06-10T15:10:22Z	FALSE	NA	741286391200505857	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	5347.0	FALSE	FALSE	NA	NA
"Join me! 
6/10: Richmond, VA - 8pm
6/11: Tampa, FL - 11am
6/11: Pittsburgh, PA - 3pm
6/13: Portsmouth, NH - 2:30pm
https://t.co/kv624y9UOm"	FALSE	8969.0	NA	2016-06-10T13:13:42Z	FALSE	NA	741257031722622976	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3198.0	FALSE	FALSE	NA	NA
"""@Ausbiz:  RECORD 14 million primary votes/beat 16 opponents/financed own campaign. You will be a great POTUS &amp; #MakeAmericaGreatAgain"""	FALSE	11463.0	NA	2016-06-10T12:23:53Z	FALSE	NA	741244493127618560	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	3459.0	FALSE	FALSE	NA	NA
"""@FoxNews: .@JamesRosenFNC: ""Never before has a president endorsed someone under investigation by @TheJusticeDept."" https://t.co/fX5bs8fzac"	FALSE	28982.0	NA	2016-06-10T12:20:01Z	FALSE	NA	741243519822626816	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	14158.0	FALSE	FALSE	NA	NA
Pocahontas is at it again! Goofy Elizabeth Warren, one of the least productive U.S. Senators, has a nasty mouth. Hope she is V.P. choice.	FALSE	29787.0	NA	2016-06-10T12:07:49Z	FALSE	NA	741240449906663424	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	9678.0	FALSE	FALSE	NA	NA
"""@FreemarketSara: Trump's Historic 13 Million Primary Votes - A Record ... Congratulations @realDonaldTrump https://t.co/zdOEle8wOL"""	FALSE	19971.0	NA	2016-06-10T02:31:06Z	FALSE	NA	741095312601812992	NA	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	realDonaldTrump	7295.0	FALSE	FALSE	NA	NA
"Join me! #Trump2016

6/10: Richmond
https://t.co/I2CJSqAlyl

6/11: Tampa
https://t.co/6jk33orxXG

6/11: Pittsburgh
https://t.co/bwgL1ZXtC7"	FALSE	9019.0	NA	2016-06-10T02:29:27Z	FALSE	NA	741094899664093184	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	3374.0	FALSE	FALSE	NA	NA
Thank you Roseanne, very much appreciated. https://t.co/COXEJ1In8D	FALSE	21332.0	NA	2016-06-09T21:15:11Z	FALSE	NA	741015811960229893	NA	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	realDonaldTrump	7062.0	FALSE	FALSE	NA	NA
How long did it take your staff of 823 people to think that up--and where are your 33,000 emails that you deleted? https://t.co/gECLNtQizQ	FALSE	291476.0	NA	2016-06-09T20:40:32Z	FALSE	NA	741007091947556864	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	169526.0	FALSE	FALSE	NA	NA
"A message of condolences and support regarding the terrorist attacks in Tel Aviv: 
https://t.co/iulXLEANei"	FALSE	15638.0	NA	2016-06-09T19:26:49Z	FALSE	NA	740988538464948224	NA	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	realDonaldTrump	5023.0	FALSE	FALSE	NA	NA
